problem,Filename,1,2,3,4,5
01,clang_generated_llm_optimized,0.8734481613696062,,,,
02,clang_generated_llm_optimized,0.8797093017725971,0.8767809982467452,0.8773655492956842,0.8774345065041701,0.8733981319730013
03,clang_generated_llm_optimized,0.3522432422942544,0.3516439448957795,,,
04,clang_generated_llm_optimized,0.8685968714532941,,,,
05,clang_generated_llm_optimized,0.7214492219784765,0.7242485395506029,,,
06,clang_generated_llm_optimized,0.8727235750173464,,,,
07,clang_generated_llm_optimized,0.6010199660389007,0.6008459518361066,,,
08,clang_generated_llm_optimized,0.7996591913288801,0.795242601961936,,,
09,clang_generated_llm_optimized,0.8763553932126577,,,,
10,clang_generated_llm_optimized,0.9986999524241694,0.9990457955422104,0.9979159816255196,0.999751817244314,0.999399702359887
11,clang_generated_llm_optimized,0.8112852628247006,,,,
12,clang_generated_llm_optimized,0.0167051748468544,,,,
13,clang_generated_llm_optimized,0.7387739323215011,0.7450594323175381,0.7428467590669694,0.747420587153727,
14,clang_generated_llm_optimized,0.8660727493192448,0.8681711137547649,0.8668332024242841,,0.8006713516133744
15,clang_generated_llm_optimized,0.781957481691413,0.7880698607654134,,,
16,clang_generated_llm_optimized,0.6427456039883861,0.6416552425374326,,,
17,clang_generated_llm_optimized,0.870760847939238,,,,
18,clang_generated_llm_optimized,0.5380095708093214,0.104472059950052,0.0066595758765013,0.0064404864722059,
19,clang_generated_llm_optimized,0.8245754953589949,,,,
20,clang_generated_llm_optimized,0.8663691769021241,0.8639279450830915,,,
21,clang_generated_llm_optimized,0.8772647585922698,,,,
22,clang_generated_llm_optimized,0.685896742271289,,,,
23,clang_generated_llm_optimized,0.7834216110962516,0.7820039772307288,0.7812230288015365,0.7813165854949278,
24,clang_generated_llm_optimized,0.8789323009541662,,,,
25,clang_generated_llm_optimized,0.8813144454982688,0.8770657351391594,,,
26,clang_generated_llm_optimized,0.8289836555703356,0.8292487600841085,,,
27,clang_generated_llm_optimized,0.8753736979859837,,,,
28,clang_generated_llm_optimized,0.8722180221597596,0.8707304982592471,,,
29,clang_generated_llm_optimized,0.8674260418874262,0.8648114903328293,0.8729167155508488,,
30,clang_generated_llm_optimized,0.8731768830232182,0.8739589652918901,0.8748183963563003,0.8731065659361268,0.8789081162716453
31,clang_generated_llm_optimized,0.6928455741179756,,,,
32,clang_generated_llm_optimized,0.6724960640821878,0.6677575480543831,,,
33,clang_generated_llm_optimized,0.6079788066776388,,,,
34,clang_generated_llm_optimized,0.6564758829550406,0.653643790677241,,,
35,clang_generated_llm_optimized,0.6442491372624718,0.6437806498856868,0.6435208916540036,,
36,clang_generated_llm_optimized,0.6634670743292979,,,,
37,clang_generated_llm_optimized,0.5537403009717289,0.5533871024070035,,,
38,clang_generated_llm_optimized,0.6598769494937479,0.6563359594817908,0.6566198859763297,0.6566922651655909,0.6571906812088333
39,clang_generated_llm_optimized,0.5637647551156592,0.5517153107929543,,,
40,clang_generated_llm_optimized,0.6492528620607524,0.6484409608378736,,,
41,clang_generated_llm_optimized,0.0544553176857256,0.0565097589332223,0.0063514403253928,0.0062037996465917,
42,clang_generated_llm_optimized,0.1074163610643891,0.0964125212209758,,,
43,clang_generated_llm_optimized,0.5722136399793758,0.4459057001235999,0.445872016043994,,
44,clang_generated_llm_optimized,0.6838441105658971,0.6267956805260131,0.6272471852160585,0.6256945787121814,0.6041915993837114
45,clang_generated_llm_optimized,1.2307156901003686,,,,
46,clang_generated_llm_optimized,0.8972406239401092,0.8925545387504215,0.8960423427936859,0.7985636806616426,0.7998693123652116
48,clang_generated_llm_optimized,0.5646142652165308,0.669080747537993,0.5871658797926403,0.5886533050352267,0.5903548393245525
50,clang_generated_llm_optimized,0.8131978288706672,0.8115838159127023,0.6031850237945147,0.5122527378017315,
